,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,Ixtapa,20.7,-105.2,80.29,83,90,8.05,1599964578,MX
1,Synya,65.37,58.04,42.03,93,100,9.37,1599964579,RU
2,Albany,42.6,-73.97,57.22,99,0,8.21,1599964375,US
3,Jamestown,42.1,-79.24,64.35,88,90,12.75,1599964579,US
4,Clyde River,70.47,-68.59,33.8,83,90,4.7,1599964580,CA
5,Barrow,71.29,-156.79,39.2,93,90,13.87,1599964477,US
6,Zhigansk,66.77,123.37,49.46,83,99,5.86,1599964580,RU
7,Kaitangata,-46.28,169.85,50.0,86,100,1.99,1599964581,NZ
8,Mabaruma,8.2,-59.78,77.34,89,0,3.47,1599964581,GY
9,Jining,35.41,116.58,77.59,62,46,5.53,1599964581,CN
10,Bluff,-46.6,168.33,48.0,97,100,3.0,1599964582,NZ
11,Upernavik,72.79,-56.15,30.07,95,100,8.7,1599964582,GL
12,Castro Urdiales,43.38,-3.22,60.98,93,0,3.36,1599964583,ES
13,Jasper,37.2,-94.35,63.79,100,1,3.36,1599964484,US
14,Ketchikan,55.34,-131.65,60.8,63,1,4.7,1599964583,US
15,Kahului,20.89,-156.47,81.73,48,40,23.04,1599964584,US
16,New Norfolk,-42.78,147.06,55.45,52,57,4.0,1599964584,AU
17,Portland,45.52,-122.68,60.93,67,90,0.83,1599964320,US
18,Dikson,73.51,80.55,43.52,93,100,17.9,1599964585,RU
19,Pak Kret,13.91,100.5,87.71,94,20,5.82,1599964585,TH
20,Tiksi,71.69,128.87,48.79,67,0,3.22,1599964585,RU
21,Hermanus,-34.42,19.23,57.99,84,87,7.0,1599964586,ZA
22,Mana,5.66,-53.78,79.95,85,36,12.91,1599964586,GF
23,Bengkulu,-3.8,102.27,82.9,70,33,8.28,1599964586,ID
24,Qandala,11.47,49.87,87.78,57,7,1.7,1599964587,SO
25,Erzin,36.96,36.2,79.0,86,1,1.39,1599964587,TR
26,Aiken,33.58,-81.6,75.07,94,1,6.93,1599964587,US
27,Chui,-33.7,-53.46,50.27,86,2,4.52,1599964588,UY
28,Sorong,-0.88,131.25,83.07,75,97,10.45,1599964409,ID
29,Portree,57.41,-6.19,51.01,93,100,3.0,1599964588,GB
30,Punta Arenas,-53.15,-70.92,39.11,93,100,12.75,1599964336,CL
31,Puerto Madryn,-42.77,-65.04,51.62,43,2,22.1,1599964589,AR
32,Miandrivazo,-19.52,45.47,73.26,67,6,1.14,1599964589,MG
33,Poronaysk,49.22,143.12,60.85,58,11,6.08,1599964590,RU
34,Dayong,25.02,118.29,84.2,74,20,11.18,1599964590,CN
35,Hobart,-42.88,147.33,58.39,38,20,19.46,1599964423,AU
36,Saldanha,-33.01,17.94,57.2,87,98,8.05,1599964591,ZA
37,Bethel,41.37,-73.41,54.9,93,1,4.25,1599964383,US
38,Kerema,-7.96,145.78,79.21,72,47,11.39,1599964591,PG
39,Kapaa,22.08,-159.32,82.49,58,20,11.41,1599964592,US
40,Tasiilaq,65.61,-37.64,33.8,74,99,2.73,1599964592,GL
41,New Delhi,28.61,77.23,84.96,83,0,4.45,1599964592,IN
42,Port Alfred,-33.59,26.89,67.23,51,51,1.32,1599964593,ZA
43,Atuona,-9.8,-139.03,78.28,75,28,16.17,1599964593,PF
44,Ancud,-41.87,-73.82,38.77,97,53,15.99,1599964593,CL
45,Acaraú,-2.89,-40.12,77.54,82,0,18.05,1599964594,BR
46,East London,-33.02,27.91,73.06,39,2,5.55,1599964595,ZA
47,Longyearbyen,78.22,15.64,37.4,90,75,2.24,1599964529,SJ
48,Rikitea,-23.12,-134.97,73.31,84,65,11.65,1599964595,PF
49,Leshukonskoye,64.9,45.76,46.67,94,100,10.0,1599964595,RU
50,Hamilton,39.18,-84.53,76.69,94,40,7.99,1599964463,US
51,Geraldton,-28.77,114.6,71.6,43,0,17.22,1599964596,AU
52,Saskylakh,71.92,114.08,52.34,54,34,4.9,1599964596,RU
53,Ushuaia,-54.8,-68.3,41.0,75,75,3.36,1599964375,AR
54,Puerto Escondido,15.85,-97.07,81.7,79,100,6.33,1599964597,MX
55,Falam,22.92,93.68,74.03,71,100,0.6,1599964597,MM
56,Thompson,55.74,-97.86,39.2,86,75,3.36,1599964598,CA
57,Viedma,-40.81,-63.0,49.28,50,43,9.75,1599964598,AR
58,Norman Wells,65.28,-126.83,39.2,64,75,6.93,1599964598,CA
59,Visnes,59.36,5.22,53.51,76,100,23.04,1599964599,NO
60,Ahipara,-35.17,173.17,57.63,60,0,9.86,1599964599,NZ
61,Comodoro Rivadavia,-45.87,-67.5,48.2,45,0,25.28,1599964600,AR
62,Gilbués,-9.83,-45.34,67.78,34,0,5.08,1599964600,BR
63,Busselton,-33.65,115.33,63.91,51,9,1.52,1599964600,AU
64,Pevek,69.7,170.31,44.11,79,0,2.86,1599964601,RU
65,Carnarvon,-24.87,113.63,78.8,29,0,17.22,1599964601,AU
66,Ust-Maya,60.42,134.53,67.68,53,19,2.51,1599964390,RU
67,Puerto Ayora,-0.74,-90.35,66.99,91,98,7.0,1599964602,EC
68,Hilo,19.73,-155.09,74.32,61,90,9.17,1599964602,US
69,Akdepe,42.06,59.38,57.24,54,3,4.7,1599964603,TM
70,Butaritari,3.07,172.79,81.97,71,59,13.38,1599964603,KI
71,Youghal,51.95,-7.85,59.67,93,75,17.22,1599964604,IE
72,Bilma,18.69,12.92,86.22,17,11,1.41,1599964604,NE
73,Roseburg,43.22,-123.34,63.52,52,90,3.02,1599964367,US
74,Isangel,-19.55,169.27,77.0,69,90,9.17,1599964605,VU
75,Gejiu,23.31,103.16,61.45,100,100,4.09,1599964605,CN
76,Sikonge,-5.63,32.77,71.6,53,73,11.41,1599964605,TZ
