,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,Jánossomorja,47.79,17.14,80.01,55,93,2.04,1599832774,HU
1,Hamilton,39.18,-84.53,66.79,82,90,10.29,1599832519,US
2,Kodinsk,58.69,99.18,48.43,84,100,1.81,1599832774,RU
3,Provost,52.35,-110.27,56.7,56,0,6.67,1599832775,CA
4,Hobart,-42.88,147.33,50.16,93,90,14.99,1599832516,AU
5,Coquimbo,-29.95,-71.34,55.4,76,40,3.36,1599832775,CL
6,Punta Arenas,-53.15,-70.92,39.09,80,2,10.29,1599832775,CL
7,Kapaa,22.08,-159.32,73.56,69,1,12.75,1599832775,US
8,Carauari,-4.88,-66.9,80.24,75,89,3.24,1599832776,BR
9,Mataura,-46.19,168.86,36.0,91,0,3.0,1599832776,NZ
10,Castro,-24.79,-50.01,79.48,50,48,4.76,1599832776,BR
11,Cape Town,-33.93,18.42,73.76,49,100,6.93,1599832490,ZA
12,Alta Floresta,-9.88,-56.09,99.45,16,8,6.2,1599832776,BR
13,Rikitea,-23.12,-134.97,73.04,88,85,12.15,1599832777,PF
14,Sept-Îles,50.2,-66.38,49.78,81,20,5.23,1599832711,CA
15,East London,-33.02,27.91,60.8,100,90,14.99,1599832555,ZA
16,Jamestown,42.1,-79.24,58.1,93,90,8.05,1599832590,US
17,Riviere-au-Renard,49.0,-64.4,51.8,71,20,11.41,1599832781,CA
18,Havre-St-Pierre,50.23,-63.6,50.0,81,1,4.7,1599832781,CA
19,Esperance,-33.87,121.9,57.2,82,90,5.82,1599832781,AU
20,Nanortalik,60.14,-45.24,39.51,65,0,5.88,1599832782,GL
21,Shakawe,-18.37,21.85,88.41,12,0,10.92,1599832782,BW
22,Puerto Ayora,-0.74,-90.35,66.99,92,99,7.0,1599832782,EC
23,Burgersdorp,-31.0,26.33,79.63,15,0,9.75,1599832782,ZA
24,Bambous Virieux,-20.34,57.76,73.2,83,75,16.11,1599832782,MU
25,Tasiilaq,65.61,-37.64,35.6,80,75,4.7,1599832783,GL
26,Carnarvon,-24.87,113.63,66.2,72,0,21.92,1599832783,AU
27,Muroto-misakicho,33.28,134.15,80.71,79,0,4.41,1599832783,JP
28,Voyvozh,62.89,54.96,50.99,91,95,8.1,1599832783,RU
29,Avarua,-21.21,-159.78,77.0,94,87,5.82,1599832784,CK
30,Mount Gambier,-37.83,140.77,55.4,93,90,5.82,1599832784,AU
31,Jalingo,8.88,11.37,84.72,68,95,5.17,1599832784,NG
32,Bluff,-46.6,168.33,36.0,91,0,3.0,1599832788,NZ
33,Kavieng,-2.57,150.8,82.26,77,11,8.19,1599832788,PG
34,Vaini,-21.2,-175.2,69.8,83,20,5.82,1599832788,TO
35,Kirkland Lake,48.14,-80.04,46.4,87,1,4.7,1599832788,CA
36,Iqaluit,63.75,-68.51,39.09,75,75,14.99,1599832512,CA
37,Verkhoyansk,67.54,133.38,45.77,61,28,2.01,1599832789,RU
38,Yendi,9.44,-0.01,79.68,82,99,4.79,1599832789,GH
39,Guozhen,34.37,107.36,74.68,55,100,1.14,1599832789,CN
40,Busselton,-33.65,115.33,46.45,71,0,5.06,1599832789,AU
41,Ushuaia,-54.8,-68.3,39.2,64,10,5.82,1599832740,AR
42,Prince Rupert,54.32,-130.32,50.0,100,1,2.24,1599832790,CA
43,El Porvenir,13.76,-87.35,71.6,88,40,4.7,1599832790,HN
44,Tambura,5.6,27.47,81.79,82,100,0.89,1599832790,SS
45,Saint Paul Harbor,57.79,-152.41,39.2,58,1,6.93,1599832790,US
46,Port Augusta,-32.5,137.77,67.62,31,0,11.41,1599832790,AU
47,Cervia,44.27,12.34,80.69,54,20,8.05,1599832791,IT
48,Port Alfred,-33.59,26.89,64.0,79,100,25.55,1599832791,ZA
49,Fortuna,40.6,-124.16,49.46,100,75,8.05,1599832791,US
50,Tuktoyaktuk,69.45,-133.04,39.2,86,90,13.87,1599832795,CA
51,Saint-Philippe,-21.36,55.77,70.2,69,90,3.36,1599832795,RE
52,Kavaratti,10.57,72.64,81.77,80,100,21.74,1599832795,IN
53,Upernavik,72.79,-56.15,32.27,86,63,5.91,1599832795,GL
54,Bengkulu,-3.8,102.27,76.84,88,100,6.22,1599832796,ID
55,Boyuibe,-20.42,-63.28,78.8,44,57,9.17,1599832796,BO
56,Bethel,41.37,-73.41,67.91,72,1,11.41,1599832796,US
57,Chokurdakh,70.63,147.92,44.87,70,0,7.27,1599832796,RU
58,Christchurch,-43.53,172.63,31.77,92,0,3.36,1599832770,NZ
59,Pisco,-13.7,-76.22,60.46,87,90,2.24,1599832544,PE
60,New Norfolk,-42.78,147.06,49.91,83,100,2.35,1599832797,AU
61,Sitka,57.05,-135.33,51.8,66,40,3.36,1599832797,US
62,Buala,-8.14,159.59,79.63,81,29,6.49,1599832797,SB
63,Namatanai,-3.67,152.43,79.68,82,8,5.95,1599832797,PG
64,Hilo,19.73,-155.09,68.61,73,20,5.82,1599832798,US
65,Caucaia,-3.74,-38.65,82.2,65,75,17.22,1599832798,BR
66,George Town,5.41,100.34,81.61,88,40,4.7,1599832683,MY
67,Butaritari,3.07,172.79,81.82,73,100,11.74,1599832801,KI
68,Kaitangata,-46.28,169.85,42.01,76,1,1.99,1599832802,NZ
69,Kindu,-2.95,25.95,83.01,65,99,4.38,1599832805,CD
70,Lorengau,-2.02,147.27,82.18,79,41,8.39,1599832811,PG
71,Sal Rei,16.18,-22.92,86.0,70,75,10.29,1599832812,CV
72,Hong Kong,22.29,114.16,84.04,70,100,9.22,1599832816,HK
73,Saldanha,-33.01,17.94,84.2,35,60,3.36,1599832817,ZA
74,Thompson,55.74,-97.86,42.8,93,90,3.36,1599832818,CA
75,Pacific Grove,36.62,-121.92,53.89,100,90,4.7,1599832601,US
76,Faanui,-16.48,-151.75,77.49,80,1,12.46,1599832819,PF
77,Kenai,60.55,-151.26,32.32,75,90,4.7,1599832823,US
78,Agadez,19.75,10.25,103.68,8,0,14.0,1599832823,NE
79,Lujiang,31.26,117.28,77.0,78,6,4.47,1599832824,CN
80,Gazli,40.13,63.45,79.39,22,0,12.41,1599832825,UZ
81,Ribeira Grande,38.52,-28.7,75.2,73,20,6.93,1599832825,PT
82,Santa Vitória do Palmar,-33.52,-53.37,64.08,65,0,5.06,1599832825,BR
83,Aklavik,68.22,-135.01,35.6,100,75,3.36,1599832826,CA
84,Richards Bay,-28.78,32.04,72.18,64,0,8.19,1599832826,ZA
85,Vestmanna,62.16,-7.17,48.2,93,32,20.8,1599832829,FO
86,Bumba,2.18,22.47,78.1,90,100,2.3,1599832829,CD
87,Arraial do Cabo,-22.97,-42.03,77.0,78,40,13.87,1599832830,BR
88,Kiryat Gat,31.61,34.76,89.02,54,0,3.0,1599832830,IL
89,Chui,-33.7,-53.46,63.32,69,0,5.91,1599832830,UY
90,Kuril'sk,45.23,147.88,51.91,77,83,8.05,1599832831,RU
91,Clyde River,70.47,-68.59,35.6,80,90,2.24,1599832831,CA
92,Lebu,-37.62,-73.65,50.29,66,78,4.34,1599832831,CL
93,Lüderitz,-26.65,15.16,74.52,34,0,11.95,1599832611,NA
94,Ponta do Sol,32.67,-17.1,71.94,65,40,8.05,1599832832,PT
95,Bintulu,3.17,113.03,77.0,94,40,5.82,1599832832,MY
96,Marsh Harbour,26.54,-77.06,81.34,81,100,22.15,1599832811,BS
97,Rechka Vydrino,51.48,104.85,46.92,91,100,8.25,1599832833,RU
98,Itarema,-2.92,-39.92,87.31,47,0,16.71,1599832836,BR
99,Cidreira,-30.18,-50.21,65.41,75,0,17.63,1599832837,BR
100,Port Elizabeth,-33.92,25.57,62.01,87,85,8.99,1599832832,ZA
101,Saskylakh,71.92,114.08,45.43,83,100,5.08,1599832837,RU
102,Lima Duarte,-21.84,-43.79,78.8,34,0,2.24,1599832838,BR
103,Egvekinot,66.32,-179.17,40.77,98,91,1.88,1599832838,RU
104,Camargo,27.67,-105.17,65.1,78,100,5.79,1599832838,MX
105,Marawi,8.0,124.29,75.0,94,100,4.0,1599832839,PH
106,Morón,-34.65,-58.62,63.27,55,0,9.17,1599832558,AR
107,Barranca,-10.75,-77.77,60.57,80,95,7.05,1599832839,PE
108,Plettenberg Bay,-34.05,23.37,65.93,76,37,20.6,1599832839,ZA
109,Atuona,-9.8,-139.03,78.44,79,5,20.2,1599832840,PF
110,Korla,41.76,86.15,73.38,21,0,7.58,1599832840,CN
111,Tiksi,71.69,128.87,49.01,60,97,9.55,1599832844,RU
112,Okakarara,-20.58,17.43,87.35,12,0,13.2,1599832844,NA
113,Barrow,71.29,-156.79,35.6,80,90,25.28,1599832845,US
114,Mossamedes,-15.2,12.15,72.77,74,11,15.41,1599832845,AO
115,São Filipe,14.9,-24.5,83.79,74,65,8.05,1599832845,CV
116,Gambēla,8.25,34.58,83.01,85,21,1.05,1599832846,ET
117,Geraldton,-28.77,114.6,62.6,72,40,17.22,1599832846,AU
118,Port Shepstone,-30.74,30.45,67.24,83,77,13.85,1599832846,ZA
119,La Asuncion,11.03,-63.86,84.2,79,0,10.29,1599832847,VE
120,Bredasdorp,-34.53,20.04,62.6,77,100,24.16,1599832850,ZA
121,Albany,42.6,-73.97,57.02,86,93,7.61,1599832614,US
122,Grindavik,63.84,-22.43,51.8,76,40,14.99,1599832851,IS
123,Khatanga,71.97,102.5,49.82,65,99,8.19,1599832851,RU
124,Aquiraz,-3.9,-38.39,82.4,65,75,17.22,1599832851,BR
125,Mahébourg,-20.41,57.7,73.4,83,75,16.11,1599832852,MU
126,West Richland,46.3,-119.36,53.98,93,1,3.36,1599832853,US
127,Rio Grande,-32.03,-52.1,60.01,92,0,10.29,1599832822,BR
128,Indiana,40.0,-86.25,64.26,93,90,8.05,1599832853,US
129,Evensk,61.95,159.23,48.22,72,95,17.87,1599832853,RU
130,Galesong,-5.32,119.37,80.6,57,20,6.93,1599832854,ID
131,Oistins,13.07,-59.53,86.0,66,20,9.17,1599832858,BB
132,Pinhão,-25.7,-51.66,79.95,44,64,3.56,1599832858,BR
133,Fort Nelson,58.81,-122.7,44.6,87,75,9.17,1599832859,CA
134,Godalming,51.18,-0.62,65.43,59,87,10.29,1599832859,GB
135,Severnyy,50.68,36.55,68.0,32,0,8.95,1599832859,RU
136,San Carlos,9.66,-68.58,84.67,71,18,2.24,1599832860,VE
137,Praia,14.92,-23.51,82.4,74,90,8.05,1599832804,CV
138,Mount Isa,-20.73,139.5,78.8,21,0,8.05,1599832860,AU
139,Torbay,47.67,-52.73,57.51,93,90,6.93,1599832740,CA
140,Yellowknife,62.46,-114.35,42.57,93,90,8.05,1599832729,CA
141,Cape Canaveral,28.41,-80.6,82.06,88,1,5.82,1599832569,US
142,Gizo Government Station,-8.1,156.84,81.27,78,10,9.24,1599832861,SB
143,Hermanus,-34.42,19.23,64.99,80,100,7.0,1599832864,ZA
144,Tsimmerbude,54.67,20.13,65.23,55,20,13.42,1599832864,RU
145,Severo-Kuril'sk,50.68,156.12,48.92,86,62,12.59,1599832864,RU
146,Tessalit,20.2,1.01,104.5,14,5,6.62,1599832865,ML
147,Key West,24.56,-81.78,86.0,70,75,9.17,1599832710,US
148,Nikolskoye,59.7,30.79,57.06,62,40,13.42,1599832865,RU
149,Baruun-Urt,46.68,113.28,55.24,74,6,9.57,1599832866,MN
150,Klyuchi,52.27,79.17,54.57,58,0,8.05,1599832866,RU
151,Lashio,22.93,97.75,72.01,97,100,2.04,1599832866,MM
152,Clyde,41.3,-82.98,62.02,83,34,11.92,1599832567,US
153,Arrondissement de Soissons,49.33,3.33,79.95,54,89,1.99,1599832867,FR
154,Ishigaki,24.34,124.16,83.93,76,88,13.09,1599832867,JP
155,Hofn,64.25,-15.21,50.0,87,90,5.82,1599832867,IS
156,Cherskiy,68.75,161.3,39.83,81,6,1.79,1599832867,RU
157,Taoudenni,22.68,-3.98,111.97,9,100,4.41,1599832868,ML
158,Katsuura,35.13,140.3,80.71,88,75,5.82,1599832868,JP
159,Mahina,-17.51,-149.49,72.18,83,20,2.24,1599832871,PF
160,Edd,13.93,41.69,93.94,54,51,10.94,1599832872,ER
161,Airai,-8.93,125.41,55.24,86,60,3.51,1599832872,TL
162,Trairi,-3.28,-39.27,86.81,48,17,16.02,1599832872,BR
163,Atambua,-9.11,124.89,68.47,88,69,6.4,1599832873,ID
164,Kloulklubed,7.04,134.26,78.8,88,40,3.36,1599832873,PW
165,Umm Kaddadah,13.6,26.69,90.9,40,100,4.29,1599832873,SD
166,Wanaka,-44.7,169.15,35.01,74,0,3.47,1599832873,NZ
167,Guerrero Negro,27.98,-114.06,75.22,51,0,4.85,1599832874,MX
168,Khovd,48.01,91.64,45.54,54,61,0.6,1599832874,MN
